"item-title","r-itemid","pickup","quality","textbox","textbox 2","textbox 3","textbox 4","textbox 5","textbox 10","textbox 11","textbox 12","r-unlock"
"Salvation","ItemID: 696","""Divine protection""","Quality: 3","Isaac gains a halo of light around him. When an enemy touches the halo for couple of seconds, a beam of light will come down and deal a burst of damage to it","The triggered beam also fires in all 4 cardinal directions, dealing damage to anything it touches","Every time Isaac takes damage, the halo grows slightly bigger up to a maximum of 10 times. The size resets when leaving the floor","Counts as 1 of 3 angel items needed towards the Seraphim transformation.","","Type: Passive","Item Pool: Angel Room","","Unlock this item by defeating The Beast as Tainted Lazarus"
"Vanishing Twin","ItemID: 697","""He wants revenge""","Quality: 2","A fetus familiar follows Isaac, and upon entering the Boss room on each floor, it will transform into a copy of the boss","This makes bosses a lot harder, however you now get 2 boss item drops","","","","Type: Passive, Familiar","Item Pool: Secret Room, Curse Room","","Unlock this item by defeating Hush as Jacob & Esau"
"Twisted Pair","ItemID: 698","""Double trouble!""","Quality: 4","You gain two familiar demons, that stay by Isaac's side and fire shots in the same direction as you","The familiars deal roughly 40% of Isaac's damage, scaling with damage upgrades you get","They sit near and rotate around Isaac depending on which way you're firing tears. They do not block enemy shots","Counts as 1 of 3 familiar items needed towards the Conjoined transformation.","","Type: Passive, Familiar","Item Pool: Devil Room","","Unlock this item by defeating The Beast as Tainted Lilith"
"Azazel's Rage","ItemID: 699","""Ancient power""","Quality: 2","Isaac builds rage each time you clear a new room. This is shown by the Azazel skin spreading on Isaac's face","After 4 rooms, Isaac's face will flash red. The next room you enter he will automatically fire a massive red brimstone laser for 4 seconds, dealing huge damage","The rage resets back to zero, and the cycle continues every 5 rooms cleared","","","Type: Passive","Item Pool: Devil Room","","Unlock this item by defeating The Beast as Tainted Azazel"
"Echo Chamber","ItemID: 700","""I can see see the future future future""","Quality: 3","When using a card, pill, or rune, you also use a copy of the last 3 cards/pills/runes you used after picking up Echo Chamber","Counts as 1 of 3 astrology items needed in the same run to unlock Planetariums","","","","Type: Passive","Item Pool: Secret Room","","Unlock this item by defeating The Beast as Tainted Apollyon"
"Isaac's Tomb","ItemID: 701","""Buried memories""","Quality: 3","Spawns an Old chest at the start of all future floors","Old Chests work the same as Golden Chests, requiring a key to open but contain different items","The Old chest can contain: 3 trinkets (42% chance), 1-3 soul hearts (43% chance), a random item from the Old Chest pool (10% chance) or an angel room item (5% chance)","Spawns a second chest in the mirrored floor of Downpour II or Dross II, but only if you had this item before entering the floor","","Type: Passive","Item Pool: Secret Room","","Unlock this item by defeating The Beast as Tainted Forgotten"
"Vengeful Spirit","ItemID: 702","""Hot blooded""","Quality: 1","Each time you take damage, a red flame orbital will appear around Isaac for the remainder of the floor, up to a maximum of 6","The flames deal contact damage which scales with your tear damage","Upon reaching 6 flames, they will also start to fire tears along with Isaac, dealing a flat 3.2 damage per tear","When entering a new floor, all the flames disappear","","Type: Passive","Item Pool: Devil Room, Curse Room","","Unlock this item by defeating The Beast as Tainted Bethany"
"Esau Jr","ItemID: 703","""Lost brother""","Quality: 2","Using this item swaps you between the character you started as, and Esau, which has 3 black hearts, +2 base damage and the ability to fly","This character keeps its own separate health and items. Items picked up are not shared between the two characters","If either character dies it's game over","","","Type: Active","Recharge Time: 1 room","Item Pool: Item Room, Secret Room","Unlock this item by defeating The Beast as Tainted Jacob"
"Berserk!","ItemID: 704","""Rip and tear""","Quality: 2","When activated, Isaac's tears are replaced by a bone sword and he goes on a killing rampage, gaining +0.4 Speed, +3 Flat Damage Up for 5 seconds","The sword deals x3 damage if used at close range, or x1.5 damage if charged up and thrown","Clearing rooms doesn't charge this item - charge is added equal to damage taken by enemies. This includes all sources of damage, including environmental damage to enemies","Killing an enemy while berserk will increase the duration of the effect by 1 second","You don't die while in Berserk mode, but taking lethal damage will kill you after the effect wears off","Type: Active","Recharge Time: Enemy damage taken = charge","Item Pool: Devil Room","Unlock this item by defeating Delirium as Tainted Samson"
"Dark Arts","ItemID: 705","""One with the shadows""","Quality: 2","When used, Isaac turns into a ghost for 1 second and his speed goes up to maximum (2.0). During this time he can walk over enemies to mark them for death. When the effect wears off, Isaac quickly runs between each marked enemy, dealing high damage to each one rapidly (roughly x2.5 your tear damage)","The damage caused by this effect scales up with every target it hits in a row","Tainted Judas starts with this item","","","Type: Active","Recharge Time: 7 seconds","Item Pool: Devil Room","Unlock this item by defeating Delirium as Tainted Judas"
"Abyss","ItemID: 706","""Come forth from the depths""","Quality: 4","When used, Abyss consumes all pedestal items in the current room and converts them into Red attack flies","Red attack flies will charge across the room in the same direction Isaac is shooting, dealing contact damage to enemies equal to Isaac's tear damage","The flies don't block enemy shots, but this also means they never die and stay with Isaac forever","Tainted Apollyon starts with this item","","Type: Active","Recharge Time: 4 rooms","Item Pool: Devil Room","Unlock this item by defeating Delirium as Tainted Apollyon"
"Supper","ItemID: 707","""HP up""","Quality: 1","+1 HP Up","","","","","Type: Passive","Item Pool: Boss Room","",""
"Stapler","ItemID: 708","""DMG up""","Quality: 3","+1.0 Damage Up","Staples one of Isaac's eyes shut, meaning he only shoots tears from one eye. This means some effects such as R U A WIZARD pills only fire tears in one direction","","","","Type: Passive","Item Pool: Boss Room","",""
"Suplex!","ItemID: 709","""Angel breaker""","Quality: 2","When used, you charge forwards for a second. If you touch an enemy in that time, Isaac will pick it up and slam it on the ground, killing it and sending a shockwave around the impact","In the brief period while holding the enemy you can move a target to decide where it lands","Actually does work on bosses! However after the attack you end up near the boss, which puts you in danger of taking damage too","Scales in damage and area of effect with the player's size","","Type: Active","Recharge Time: 8 seconds","Item Pool: Item Room, Crane Game","Unlock this item by defeating Delirium as Jacob & Esau"
"Bag of Crafting","ItemID: 710","""Make your destiny""","Quality: 3","When used will do a swipe attack in any direction. Can be used to store up to 8 consumables in, such as hearts, coins, keys, bombs, cards etc","When the bag has 8 items you can hold down the activate button for 2 seconds to craft yourself a brand new random item","Bag of Crafting's recipes are based on your current seed, but there are some fixed recipes that exist in every run, e.g. 8 coins = Slot Machine","While playing as Tainted Cain you get a visual interface to see what items are in the bag, allowing you to see what item will be created and swap out specific consumables","Has other uses - Will deal 3 damage to enemies it hits, and can be used to quickly push bombs and objects across rooms","Type: Active","Recharge Time: Instant","Item Pool: Item Room","Unlock this item by defeating Delirium as Tainted Cain"
"Flip","ItemID: 711","""Life and death""","Quality: 4","While holding flip, a ghost item will appear behind item pedestals upon entering Item Rooms and Shop that cannot be interacted with","When activated, all real items in the room will be swapped with the ghost items behind them","The ghost item stays there even if you take the regular item, allowing you to use Flip to get both of them","Does nothing with item pedestals that don't have a ghost item behind them","When playing as Tainted Lazarus, activating Flip also changes you between Lazarus and Dead Lazarus","Type: Active","Recharge Time: 6 rooms","Item Pool: Curse Room, Secret Room, Shop","Unlock this item by defeating Delirium as Tainted Lazarus"
"Lemegeton","ItemID: 712","""Item summoner""","Quality: 3","When used, gives you an orbital flame which represents another random passive item in the game. While you have this flame you also have that item's effect","The flame deals double your tear damage to any enemies that touch it, but if it takes too much damage the flame will disappear and you lose the item's effect","Tainted Bethany starts with this item","Wisps are randomly chosen from Item Room, Boss Room and Shop item pools, with a 25% chance to pick the same pool as the current room","Counts as 1 of 3 book items needed towards the Bookworm transformation.","Type: Active","Recharge Time: 6 rooms","Item Pool: Devil Room, Library","Unlock this item by defeating Delirium as Tainted Bethany"
"Sumptorium","ItemID: 713","""Return""","Quality: 3","When used, removes half a heart of health and creates a clot familiar","Clot familiars follow Isaac's exact movements including flight, firing tears and tear effects","Holding down the swap button will cause all your clots to stay in place","Works differently as Tainted Eve - instead clots are created by firing for 2 seconds, down to a minimum of half a red heart. Using Sumptorium as her will then cause all Clots to be consumed and return your hearts back to you. Clots returning back to Eve deal 3x damage as they suck back in","The type of heart consumed to create a clot will give it different abilities: Soul Hearts = More health, Black Hearts = Dark Matter effect, Eternal Hearts = Sacred Heart effect, Gold Hearts = Midas Touch effect, Bone Hearts = Compound Fracture effect, Rotten Hearts = Less health","Type: Active","Recharge Time: 10 seconds","Item Pool: Item Room","This item comes along with Tainted Eve. The achievement 'Sumptorium' is unlocked by defeating Delirium as Tainted Eve"
"Recall","ItemID: 714","""Come back""","Quality: 0","When used, this will retreive the Tainted Forgotten's skeleton back to its owner's hands from any distance","Tainted Forgotten's Birthright effect. Cannot be obtained and has no use for any other character","Birthright is a Shop item that has unique effects depending on what character you're playing as","","","Type: Active","Recharge Time: 3 seconds","Item Pool: None",""
"Hold","ItemID: 715","""Saved for later""","Quality: 0","This is the item Tainted Blue Baby (???) uses as his main mechanic","Killing or damaging enemies spawns various poops, which add to his collection. Pressing the bomb button will put the next poop into the 'Hold' jar. Pressing it again allows you to throw it at enemies. Each poop has random effects like Butt Bombs, Fire Poops etc","Tainted Blue Baby starts with this item, and is the only one who can use it","","","Type: Active","Recharge Time: Instant","Item Pool: None",""
"Keeper's Sack","ItemID: 716","""Spending power""","Quality: 3","Spawns 3 random coins and a key when picked up","Buying items from the shop gives you random stat upgrades. The more you spend the higher the stat increase","Possible stats include Speed, Damage and Range","15c items give all 3 stats: +1 Damage Up, +0.03 or +0.06 Speed Up, +0.25 or +0.5 Range Up","5c items give 1 or 2 stats: +0.5 Damage Up **OR** +0.25 Range and +0.03 Speed Up","Type: Passive","Item Pool: Shop, Secret Room","","Unlock this item by defeating Mother as The Keeper"
"Keeper's Kin","ItemID: 717","""Under a rock""","Quality: 2","While in a room with enemies, blue spiders will randomly spawn from objects in the room (e.g. rocks, pots, stone blocks)","All rocks spawn 0-2 blue spiders when destroyed","Counts as 1 of 3 spider items needed towards the Spider Baby transformation.","","","Type: Passive","Item Pool: Item Room, Secret Room","","Unlock this item by defeating Delirium as Tainted Keeper"
"Keeper's Box","ItemID: 719","""Portable shop""","Quality: 2","When used, spawns a random shop item or consumable, however you have to pay the relevant cost to pick it up","Can include anything that would appear in the shop","","","","Type: Active","Recharge Time: 4 rooms","Item Pool: Shop, Secret Room, Wooden Chest","Unlock this item by defeating The Beast as Keeper"
"Everything Jar","ItemID: 720","""Anything is possible""","Quality: 3","With every bar of charge this item has, a different consumable is shown inside the Jar. 1 = poop, 2 = penny, 3 = bomb, 4 = key, 5 = red heart, 6 = pill, 7 = card, 8 = soul heart, 9 = gold heart, 10 = gold key, 11 = gold bomb","At the full 12 charges, a completely random effect will happen. It can be anything including spawning a bunch of consumables, spawning a glitched pedestal item, creating a bunch of light beams, spawning troll bombs or nothing at all","","","","Type: Active","Recharge Time: 12 rooms","Item Pool: Item Room, Crane Game","Unlock this item by defeating The Beast as Eden"
"TMTRAINER","ItemID: 721","""Isaac and his mother lived alone in a small house on a hill""","Quality: 0","When picked up, all future items become 'glitched', causing them to become random combinations of 2-3 effects based on other items","Glitched items can be passive or active and are completely randomly generated with infinite possibilities (similar to other 'Randomizer' games)","The ratio of active to passive item effects given is 1/4","Random effects combine effects that exist on other items, and assign them to a random event (e.g. on enemy death, on room clear, on damage taken etc.)","","Type: Passive","Item Pool: Secret Room","","Unlock this item by defeating The Beast as Tainted Eden"
"Anima Sola","ItemID: 722","""Repent""","Quality: 2","When used, it puts the closes enemy in chains for 5 seconds, preventing it from moving. You can release the enemy early by using it again","Tainted Jacob starts with this item. While playing as him Anima Sola will always target Dark Esau. Releasing Dark Esau will cause him to charge directly at Jacob and deal damage to anything in his path. If used in a room with no enemies, Dark Esau will instantly spawn","Will chain up to two targets if you have Car Battery, if only one valid target is present it will be chained for twice the duration","","","Type: Active","Recharge Time: 15 seconds","Item Pool: Item Room","Unlock this item by defeating Delirium as Tainted Jacob"
"Spindown Dice","ItemID: 723","""-1""","Quality: 4","Rerolls all pedestal items, lowering all their internal item IDs by 1","For example: Brimstone's ID = 118, so it would be rerolled into Dead Bird (ID = 117)","Sad Onion (ID = 1) will reroll into nothing","There are some gaps in item IDs which are skipped if no item exists, or will reroll into unexpected items if hidden items are present at that ID. For example rerolling Plan C (ID = 475) changes it into the Broken Glass Cannon, which is a hidden item with ID = 474","Items that are yet to be unlocked will also be skipped over, preventing you from getting items you don't have access to yet","Type: Active","Recharge Time: 6 rooms","Item Pool: Item Room, Secret Room, Crane Game","Unlock this item by defeating Delirium as Tainted Isaac"
"Hypercoagulation","ItemID: 724","""Thick blooded""","Quality: 2","Upon taking damage you have a chance to drop the heart that you just lost. It gives you 2 seconds to pick it up again to re-heal, before it disappears","","","","","Type: Passive","Item Pool: Item Room","","Unlock this item by defeating Delirium as Tainted Magdalene"
"IBS","ItemID: 725","""Your stomach rumbles""","Quality: 0","Whenever you deal damage to an enemy, has a chance to give the effect of one of Tainted ???'s unique poops","Corn poop - Spawns a blue fly every 2 seconds","Flaming poop - Leaves behind fire that damages enemies","Stinky poop - Emits a toxic cloud","Black poop - Creates slowing black creep. Confuses all enemies briefly when destroyed","Type: Passive","Item Pool: Item Room","","Unlock this item by defeating Delirium as Tainted Blue Baby"
"Hemoptysis","ItemID: 726","""Double tap sneeze""","Quality: 2","Allows you to quickly double tap a shoot button to sneeze on nearby enemies, dealing x1.5 your tear damage and pushing them back slightly","If an enemy is pushed into a wall or object it takes 10 damage","","","","Type: Passive","Item Pool: Item Room","","Unlock this item by defeating Delirium as Tainted Azazel"
"Ghost Bombs","ItemID: 727","""Spooky blast +5 bombs""","Quality: 2","+5 Bombs","Bombs become spectral and can now pass through objects","Bombs spawn a friendly white soul, which will hunt down other enemies, dealing contact damage which scales with your tear damage","After 10 seconds the white soul explodes dealing 7 damage to nearby enemies. Isaac doesn't take damage from this effect","","Type: Passive","Item Pool: Item Room, Bomb Beggar","","Unlock this item by defeating Delirium as Tainted Lost"
"Gello","ItemID: 728","""Demonic gestation""","Quality: 3","Spawns a familiar that's attached via an Umbilical Cord, but will move and shoot in the same direction Isaac is shooting","When activated you first need to throw the familiar, which deals x3 your tear damage to any enemies it touches","Gello's tears deal x0.75 your tear damage (x1.0 if Lilith)","Can be used multiple times per room to spawn more familiars, however they only last for the current room","","Type: Active","Recharge Time: 2 rooms","Item Pool: Item Room, Devil Room","Unlock this item by defeating Delirium as Tainted Lilith"
"Decap Attack","ItemID: 729","""Chuck away!""","Quality: 2","When used, this item allows you to throw your head where it will sit as a stationary sentry firing bullets until you walk over and pick it up again","Throwing Isaac's head deals 24 damage to anything it hits while being thrown","Your hitbox remains with the body. Enemies touching the head don't hurt Isaac","","","Type: Active","Recharge Time: 4 seconds","Item Pool: Item Room","Unlock this item by defeating Delirium as Tainted Forgotten"
"Glass Eye","ItemID: 730","""DMG + luck up""","Quality: 3","+0.75 Damage Up","+1 Luck Up","","","","Type: Passive","Item Pool: Boss Room, Crane Game, Golden Chest","",""
"Stye","ItemID: 731","""DMG + range up""","Quality: 2","+28% Damage Up (right eye only)","+7 Range Up (right eye only)","-0.3 Shot Speed Down (right eye only)","","","Type: Passive","Item Pool: Boss Room","",""
"Mom's Ring","ItemID: 732","""DMG up""","Quality: 3","+1 Damage Up","Drops 1 random rune or soul stone when picked up","Counts as 1 of 3 mom items needed towards the Mom transformation","","","Type: Passive","Item Pool: Shop, Golden Chest, Mom's Chest, Old Chest","",""
