"item-title","r-itemid","pickup","quality","textbox","textbox 2","textbox 3","textbox 4","textbox 5","textbox 6","r-unlock","textbox 12"
"Mom's Eyeshadow","ItemID: 200","""Charm tears""","Quality: 1","Tears have a random chance to charm enemies","Type: Passive","Item Pool: Item Room, Challenge Room, Mom's Chest","Charmed enemies will prioritize attacking other enemies in the room, otherwise they will still attack Isaac","The chance to charm enemies is affected by your luck stat and at +27 Luck it will activate every time","Counts as 1 of 3 mom items needed towards the Mom transformation","",""
"Iron Bar","ItemID: 201","""Concussive tears""","Quality: 2","+0.3 Damage Up","Type: Passive","Item Pool: Item Room","Tears now have a chance to concuss enemies, causing them to walk around dazed and confused for a short period of time","The chance to concuss enemies is affected by your luck stat and at +27 Luck it will activate every time","","",""
"Midas Touch","ItemID: 202","""Golden touch""","Quality: 2","Isaac's touch now petrifies enemies, turning them to gold for a few seconds.","Type: Passive","Item Pool: Item Room","If an enemy is killed while it is golden, it will drop between 1-4 coins","Contact damage is also dealt to enemies equal to the amount of coins Isaac is currently holding","Has a synergy with The Poop item, which gives it a high chance to spawn golden poops","",""
"Humbleing Bundle","ItemID: 203","""1+1free 4evar!""","Quality: 3","All future pennies, keys, bombs and hearts have a chance to drop in pairs","Type: Passive","Item Pool: Shop","Does not work for other pickups, such as soul hearts, nickels, dimes, cards, pills etc","Does not affect existing pickups that already dropped before taking this item","","",""
"Fanny pack","ItemID: 204","""Filled with goodies""","Quality: 1","When you take damage, there is a 50% chance to drop a random heart, key, bomb or coin","Type: Passive","Item Pool: Shop, Beggar","","","","",""
"Sharp Plug","ItemID: 205","""Charge with blood""","Quality: 2","When your spacebar item is not fully charged, you can press spacebar to recharge it at the cost half of a heart per charge","Type: Passive","Item Pool: Shop","Can be used on partially charged items","Will not kill you if used - it stops a half a heart left","Red hearts are taken before other kinds, i.e. soul or black hearts","",""
"The Guillotine","ItemID: 206","""An out-of-body experience""","Quality: 2","+1.0 Damage Up","Type: Passive","Item Pool: Item Room","-1 Tear Delay (Tears Up)","Causes Isaac's head to detach and orbit his body, blocking shots and dealing 7 contact damage per tick","BFFs will cause the Guillotine head to do double damage (14 damage per tick)","Unlock this item by beating the Isaac boss with Judas",""
"Ball of Bandages","ItemID: 207","""Gotta lick em all""","Quality: 2","Gives Isaac an orbital ball of bandages that deals 7 contact damage per tick and blocks enemy shots","Type: Passive, Orbital","Item Pool: None (Horsemen boss only)","Collecting a second Ball of Bandages in the run turns the orbital into a pink head that shoots tears that deal 7 damage each and have a chance to charm enemies","Getting a third Ball of Bandages will transform the head into bandage girl which will chase enemies dealing 3.5 contact damage per tick while firing charm tears","A fourth Ball of Bandages will make the Bandage Girl bigger and stronger, making her deal 5.5 damage per tick instead","",""
"Champion Belt","ItemID: 208","""DMG + Challenge up""","Quality: 3","+1.0 Damage Up","Type: Passive","Item Pool: Shop","Increases the chance of champion enemies appearing by 15%","Doesn't affect the chance for champion bosses to spawn","An item only found in the Shop room pool","",""
"Butt Bombs","ItemID: 209","""Toxic blast +5 bombs""","Quality: 2","+5 bombs","Type: Passive","Item Pool: Item Room, Bomb Beggar","Bombs now become poop bombs, which deal 10 damage to all enemies in the room and daze them for a short period of time","Butt Bombs heal the poop bosses (Dingle, Dangle, Brownie) by 25% of their max HP","Counts as 1 of 3 poop items needed towards the Oh Crap transformation.","",""
"Gnawed Leaf","ItemID: 210","""Unbreakable""","Quality: 1","If Isaac stands still and stops shooting for a second, he turns to stone, making him invincible until he moves/shoots again","Type: Passive","Item Pool: Item Room","Using bombs or your active item will remove the invicibility as well","This item is a reference to the Tanuki suit in Super Mario 3","","",""
"Spiderbaby","ItemID: 211","""Spider revenge""","Quality: 0","Spawns 2-5 friendly attack spiders every time you take damage","Type: Passive","Item Pool: Item Room","Counts as 1 of 3 spider items needed towards the Spider Baby transformation","","","",""
"Guppy's Collar","ItemID: 212","""Eternal life?""","Quality: 1","When Isaac dies, he has a 50% chance to resurrect with 1/2 a heart","Type: Passive","Item Pool: Devil Room, Curse Room, Red Chest","Counts as 1 of 3 cat items needed towards the Guppy transformation","","","",""
"Lost Contact","ItemID: 213","""Shielded tears""","Quality: 2","All of Isaac's tears now have a shield, allowing them to block an enemy projectile","Type: Passive","Item Pool: Item Room, Secret Room","If a tear blocks something, both Isaac's and the enemies tears are destroyed","-0.16 Shot Speed Down","","",""
"Anemic","ItemID: 214","""Toxic blood""","Quality: 1","+1.5 Range Up","Type: Passive","Item Pool: Item Room","When Isaac takes damage, he will start to leave a trail of blood creep behind him as he walks for the current room. The creep deals 2 damage per tick while enemies stand in it","Lazarus' revived form (Lazarus II) respawns with this item","","",""
"Goat Head","ItemID: 215","""He accepts your offering""","Quality: 3","Gives Isaac a guaranteed devil or angel room on every floor that they can appear, even if you have already beaten the boss and it didn't show up originally","Type: Passive","Item Pool: Devil Room, Curse Room","Taking the Goat Head (or any other item) in a Devil Deal bars you from encountering Angel Rooms naturally. After which, the only way to access an Angel Room is via the Sacrifice Room","","","",""
"Ceremonial Robes","ItemID: 216","""Sin up""","Quality: 3","+3 Black Hearts","Type: Passive","Item Pool: Devil Room, Curse Room, Demon Beggar","+1 Damage Up","When depleted, Black Hearts deal 40 damage to the entire room, in a Necronomicon style effect","","",""
"Mom's Wig","ItemID: 217","""You feel itchy""","Quality: 2","Isaac now has a small chance to create friendly attack spiders everytime he fires a tear","Type: Passive","Item Pool: Item Room, Challenge Room, Mom's Chest","Can create up to a maximum of 5 spiders in the room at one time","The Hive Mind item allows Mom's Wig to spawn a maximum of 10 spiders at once, and increases their damage","The chance to create a spider is affected by your luck stat and at +10 Luck it will activate every time","",""
"Placenta","ItemID: 218","""HP up + regen""","Quality: 2","+1 HP Up","Type: Passive","Item Pool: Boss Room","Gives a chance to heal 1/2 a red heart every time the in-game timer hits a new minute","Heals one red heart container when picked up","There are no restrictions on when the regeneration effect happens as long as the game is not paused, so you can simply afk and heal over time","",""
"Old Bandage","ItemID: 219","""HP up""","Quality: 2","+1 HP Up","Type: Passive","Item Pool: Boss Room","The given heart container is empty","When you get hit, you will sometimes cause hearts to drop on the floor","The chance to drop hearts is affected by your luck stat and at +29 Luck it will activate 50% of the time","",""
"Sad Bombs","ItemID: 220","""Tear blast +5 bombs""","Quality: 2","+5 Bombs","Type: Passive","Item Pool: Item Room, Bomb Beggar","Everytime a bomb explodes, it will release a circle of 10 tears outwards, much like the Tammy's Head effect","The tears from each bomb deal a flat 25 damage and are affected by any tear modifiers Isaac has","The tears caused by Sad Bombs are much larger and do a lot more damage than Isaac's normal tears","",""
"Rubber Cement","ItemID: 221","""Bouncing tears""","Quality: 3","Isaac's tears now bounce off walls and objects in the environment, such as rocks and pots","Type: Passive","Item Pool: Item Room, Greed Mode Item Room","Allows tears to hit the same enemy multiple times","If you also have Lost Contact, tears will bounce off enemy projectiles instead of being destroyed","","Unlock this item by beating Mom's heart 2 times",""
"Anti-Gravity","ItemID: 222","""Antigravity tears + tears up""","Quality: 2","-2 Tear Delay (Tears Up)","Type: Passive, Tear Modifier","Item Pool: Item Room","As you hold down the fire button, shots will float in the same place until you release the fire key again","Allows you to store up a lot of tears in the air and release them all at once","When the tears are released, they will fire off in the direction that Isaac was originally facing when it was created","",""
"Pyromaniac","ItemID: 223","""Hurts so good +5 bombs""","Quality: 3","+5 Bombs","Type: Passive","Item Pool: Item Room","All explosions now heal Isaac for 0.5 red hearts instead of hurting him","Pyromaniac grants Isaac immunity to fire, but does not protect against stomps or shockwave effects","","",""
"Cricket's Body","ItemID: 224","""Splash damage + tears up""","Quality: 3","-1 Tear Delay (Tears Up)","Type: Passive","Item Pool: Item Room","-1.3 Range Down","x1.2 Tear Size","Makes tears break into 4 smaller tears on impact with anything, which deal half of your damage","",""
"Gimpy","ItemID: 225","""Sweet suffering""","Quality: 2","When getting hit, this item has a chance to drop a soul heart or black heart","Type: Passive","Item Pool: Item Room, Devil Room, Curse Room, Demon Beggar","The chance to spawn a heart is affected by your luck stat and at +22 Luck it will activate 50% of the time","Enemies have a chance to drop half a red heart when killed","","",""
"Black Lotus","ItemID: 226","""HP up x3""","Quality: 2","+1 HP Up","Type: Passive","Item Pool: Secret Room","+1 Soul Heart","+1 Black Heart","Heals one red heart container when picked up","",""
"Piggy Bank","ItemID: 227","""My life savings""","Quality: 1","+3 Coins when picked up","Type: Passive","Item Pool: Item Room, Shop","When you take damage, 1-2 coins will drop on the floor","When playing as the Keeper, this item drops 0-1 coins instead","","",""
"Mom's Perfume","ItemID: 228","""Fear shot""","Quality: 2","-1 Tear Delay (Tears Up)","Type: Passive","Item Pool: Item Room, Challenge Room, Mom's Chest","Isaac's tears have a 15% chance of causing a fear effect","Feared enemies will run away from Isaac temporarily","The chance to fear enemies is affected by your luck stat and at +85 Luck it will activate every time","",""
"Monstro's Lung","ItemID: 229","""Charged attack""","Quality: 2","Tears can now be charged and released in a shotgun style effect, much like Monstro's main attack","Type: Passive, Tear Modifier","Item Pool: Item Room","Tears down (Tear delay * 4.3)","Partial charging does nothing - must be fully charged to use","","",""
"Abaddon","ItemID: 230","""Evil up + DMG up + fear shot""","Quality: 3","On pickup Abaddon converts all your heart containers to black hearts, then gives you +2 more black hearts","Type: Passive","Item Pool: Devil Room, Demon Beggar","+1.5 Damage Up","+0.2 Speed Up","Tears now have a chance to induce the fear effect, causing enemies to run away from Isaac for a short period","Unlock this item by beating the Chest with Azazel",""
"Ball of Tar","ItemID: 231","""Sticky feet...""","Quality: 2","Isaac leaves a trail of tar behind him which will slow down enemies that walk over it","Type: Passive","Item Pool: Item Room","Tears have a chance to slow enemies and their projectiles for a short period of time","The chance to slow enemies can improve based on your luck stat and will always slow enemies at +18 Luck","","",""
"Stop Watch","ItemID: 232","""Let's slow this down a bit""","Quality: 4","+0.3 Speed Up","Type: Passive","Item Pool: Shop","The Stop Watch applies a permanent but slight slowing effect to all enemies and their projectiles","The slowing effect has a reduced effect against Brimstone lasers fired by enemies","","Unlock this item by donating 999 pennies to the Shop",""
"Tiny Planet","ItemID: 233","""Orbiting tears + range up""","Quality: 0","Range greatly increased","Type: Passive, Tear Modifier","Item Pool: Item Room","Grants spectral tears","Tears now revolve around Isaac's Body at a fixed distance until they hit the ground","The tears orbit close to Isaac, offset slightly in the direction fired. Changing the firing direction will redirect all previously fired tears","",""
"Infestation 2","ItemID: 234","""Infestation shot""","Quality: 3","Creates a friendly blue spider when you kill an enemy","Type: Passive","Item Pool: Item Room","Spiders are spawned at the location where the enemy died","Counts as 1 of 3 spider items needed towards the Spider Baby transformation.","","",""
"E. Coli","ItemID: 236","""Turdy Touch""","Quality: 1","E. Coli turns normal enemies into poop if they touch you","Type: Passive","Item Pool: Item Room","Enemies can turn into poop even if they do not do contact damage, allowing you to apply the effect without taking damage","Can be combined with Midas Touch to turn enemies into Golden Poop","This does not work on mini-bosses and bosses","",""
"Death's Touch","ItemID: 237","""Penetrative shots + DMG up""","Quality: 3","+1.5 Damage Up","Type: Passive, Tear Modifier","Item Pool: Item Room, Devil Room","-0.3 Tears Down","x2 Tear Size","Isaac's tears turn into large scythes that pierce through enemies (Similar to how Death's scythes look)","Unlock this item by beating Challenge #17 (Waka Waka)",""
"Key Piece #1","ItemID: 238","""???""","Quality: 0","Increases your chances to find an Angel Room instead of a Devil Room. See the dedicated Devil room page for more details","Type: Passive, Familiar","Item Pool: None (Angel statue only)","First half of the key required to enter the door to the Mega Satan boss","Drops from one of the angels which appear by bombing the statue in an angel room","","",""
"Key Piece #2","ItemID: 239","""???""","Quality: 0","Increases your chances to find an Angel Room instead of a Devil Room. See the dedicated Devil room page for more details","Type: Passive, Familiar","Item Pool: None (Angel statue only)","Second half of the key required to enter the door to the Mega Satan boss","Drops from one of the angels which appear by bombing the statue in an angel room","","",""
"Experimental Treatment","ItemID: 240","""Some stats up, some stats down""","Quality: 1","Randomly increases 4 of your stats, and decreases 2 of them","Type: Passive","Item Pool: Item Room, Boss Room, Demon Beggar","Possible stat changes are fixed values: ±1 health, ±1 damage, ±0.2 speed, ±0.5 range, ±0.5 tears, ±0.2 shot speed, ±1 luck","Counts as 1 of 3 syringe items needed towards the Spun transformation","","Unlock this item by beating Mom's Heart 7 times",""
"Contract From Below","ItemID: 241","""Wealth, but at what cost?""","Quality: 3","Doubles pickups and chests from clearing a room","Type: Passive","Item Pool: Devil Room, Curse Room, Demon Beggar","Also gives a 30% chance for room clear rewards to not spawn","Doesn't affect coins spawned in Greed Mode","","",""
"Infamy","ItemID: 242","""Damage reduction""","Quality: 2","Gives a 50% chance to not take damage from projectiles","Type: Passive","Item Pool: Item Room, Secret Room","","","","",""
"Trinity Shield","ItemID: 243","""You feel guarded""","Quality: 2","Puts a shield in front of Isaac which blocks projectiles","Type: Passive","Item Pool: Angel Room","The shield will rotate based on the direction in which Isaac is firing tears","","","",""
"Tech.5","ItemID: 244","""It's still being tested""","Quality: 3","Gives Isaac a laser that will fire at random intervals in addition to your normal tears","Type: Passive, Tear Modifier","Item Pool: Item Room","Each laser does damage equal to your current tear damage","The laser will occasionally fire with one of these effects: Hook Worm, Spoon Bender, Tiny Planet, Mysterious Liquid, Rubber Cement","Luck has no effect on the rate at which Tech.5 fires and does not scale with items that increase your tears stat","Unlock this item by beating Challenge #18 (The Host)",""
"20/20","ItemID: 245","""Double shot""","Quality: 4","Isaac now shoots two tears at once","Type: Passive, Tear Modifier","Item Pool: Item Room","0.75x damage multiplier","Unlike the Inner Eye and Mutant Spider items, this double shot item does not give a tears down","","",""
"Blue Map","ItemID: 246","""Secrets""","Quality: 2","Reveals the locations of the secret and super secret room for the current floor and all future floors","Type: Passive","Item Pool: Shop, Beggar, Key Beggar","","","","Unlock this item by donating 10 pennies to the Shop",""
"BFFS!","ItemID: 247","""Your friends rule!""","Quality: 2","Makes all of Isaac's familiars stronger and bigger","Type: Passive","Item Pool: Shop, Key Beggar","Causes most familiars to deal double damage","Has no effect on most familiars that scale with Isaac's tear damage","","",""
"Hive Mind","ItemID: 248","""Giant spiders and flies""","Quality: 2","Causes your friendly blue spiders and flies to become bigger and do x2 more damage","Type: Passive","Item Pool: Shop","Allows Mom's Wig to spawn a maximum of 10 spiders at once instead of 5","Fly and spider familiars become stronger similar to BFFS","Counts as 1 of 3 fly items needed towards the Beelzebub transformation","",""
"There's Options","ItemID: 249","""More options""","Quality: 3","Two items now spawn after beating a boss fight and the boss rush, however only one can be taken","Type: Passive","Item Pool: Shop","The additional item will pick from the Boss Item Pool","Does nothing after the Krampus fight","Unlocked by donating to the donation machine in the shop","Unlock this item by donating 50 pennies to the Shop",""
"Bogo Bombs","ItemID: 250","""1+1 bombs""","Quality: 1","All bomb pickups are now 1+1 bombs","Type: Passive","Item Pool: Shop","An item only found in the Shop item pool","","","",""
"Starter Deck","ItemID: 251","""Extra card room""","Quality: 2","Spawns a random card","Type: Passive","Item Pool: Shop","Isaac can now hold 2 cards or runes at once. Tap the drop button to cycle between each one","All future pill drops will now instead become cards","An item only available in the Shop room","",""
"Little Baggy","ItemID: 252","""Extra pill room""","Quality: 0","Allows for 2 pills to be held. Tap the drop button to cycle between each one","Type: Passive","Item Pool: Shop","Drops a pill on the floor when picked up","Changes all card and rune drops into pills. Any Tarot card or rune on the floor or current held when picking this item up will change into a pill","Dice Shard counts as a card and will be converted","Unlock this item by picking up 2 of the following items: Roid Rage, The Virus, Growth Hormones, Experimental Treatment or Speed Ball",""
"Magic Scab","ItemID: 253","""HP + luck up""","Quality: 2","+1 HP Up","Type: Passive","Item Pool: Boss Room","+1.0 Luck Up","Heals one red heart container when picked up","","",""
"Blood Clot","ItemID: 254","""DMG + range up""","Quality: 2","+1.0 Damage Up (Left eye only)","Type: Passive","Item Pool: Boss Room","+1.5 Range Up (Left eye only)","The above stats only apply to tears fired from Isaac's left eye or with a 50% chance if you have an item which causes you to fire from a single source only","","",""
"Screw","ItemID: 255","""Tears + shot speed up""","Quality: 3","+0.5 Tears Up","Type: Passive","Item Pool: Boss Room, Gold/Stone Chest","+0.2 Shot Speed Up","","","",""
"Hot Bombs","ItemID: 256","""Burning blast +5 bombs""","Quality: 1","+5 Bombs","Type: Passive","Item Pool: Item Room, Bomb Beggar","Grants immunity to fire","Enemies touching placed bombs take 16 damage","Gives all bombs a burning effect when they explode, leaving fire on the floor which deals 22 damage to enemies","",""
"Fire Mind","ItemID: 257","""Flaming tears""","Quality: 2","Isaac's tears now set enemies on fire, leaving a damage over time effect that does 4 or 6 damage per tick","Type: Passive","Item Pool: Item Room","There is a chance that tears that hit enemies will explode, leaving a small fire on the floor that damages enemies","Exploding tears deal damage * 2 + 22 per tick","The chance for tears to explode is affected by your luck stat and at +13 Luck it will activate every time","",""
"Missing No","ItemID: 258","""Syntax error""","Quality: 0","When picked up, and at the start of each floor this rerolls all your current items, giving you a new item to replace each of the ones you had","Type: Passive","Item Pool: Secret Room","Also rerolls all your stats at the same time, giving a random flat modifier that changes each time","Doesn't affect important items such as Polaroid, Negative and Key Pieces","","Unlock this item by beating Boss Rush with Lazarus",""
"Dark Matter","ItemID: 259","""Fear shot""","Quality: 3","+1.0 Damage Up","Type: Passive","Item Pool: Devil Room, Demon Beggar","Tears now have a chance to apply the fear effect to enemies, which causes them to run away from Isaac","The chance to fear enemies is affected by your luck stat and at +20 Luck it will activate every time","An item only found in the devil room pool (Note: The Fallen boss pulls items from the Devil Room Pool)","",""
"Black Candle","ItemID: 260","""Curse of immunity + evil up""","Quality: 3","+1 Black Heart","Type: Passive","Item Pool: Shop, Curse Room","Immunity to all floor curses (e.g. Curse of the Lost)","Black Candle removes the teleportation effect of Cursed Eye","+15% chance of a devil or angel room opening after the boss fight","Unlock this item by donating 150 pennies to the Shop",""
"Proptosis","ItemID: 261","""Short range mega tears""","Quality: 3","Gives Isaac high damage tears with a short range","Type: Passive, Tear Modifier","Item Pool: Item Room","Tear size and damage falls off very fast with this item, the further the tear travels the less damage it does","Tear damage starts at triple (300%) and decreases over range to eventually be 0%","","",""
"Missing Page 2","ItemID: 262","""Evil up + your enemies will pay""","Quality: 0","+1 Black Heart","Type: Passive","Item Pool: Devil Room, Demon Beggar, Secret Room","If the total sum of all your health is at one heart after taking damage, the necronomicon effect will activate, dealing 40 damage to the entire room","Missing Page 2 now doubles all black heart and Necronomicon damage to 80","","",""
"Smart Fly","ItemID: 264","""Revenge fly""","Quality: 2","A yellow orbital fly that will block shots and when Isaac gets hit, will seek out the nearest enemy and attack it","Type: Passive, Familiar","Item Pool: Item Room, Key Beggar","If the fly is in its attacking state and there are no longer any enemies in range, it will return to Isaac and go back to being a defensive orbital","Counts as 1 of 3 fly items needed towards the Beelzebub transformation","","",""
"Dry Baby","ItemID: 265","""Immortal friend""","Quality: 3","A familiar that follows Isaac and blocks any shots that hit it","Type: Passive, Familiar","Item Pool: Item Room","If a projectile is blocked by Dry Baby, he has a 10% chance to activate the Necronomicon effect, dealing 40 damage to the entire room","The chance to activate the effect is not changed by your Luck stat","Can drop while destroying skulls in the Depths and Necropolis floors","",""
"Juicy Sack","ItemID: 266","""Sticky babies""","Quality: 2","A familiar that follows isaac around dropping white creep which slows down enemies that walk over it","Type: Passive, Familiar","Item Pool: Item Room","Spawns 1-2 familiar blue spiders after every room","Blue Spiders do x2 of Isaac's damage","Counts as 1 of 3 spider items needed towards the Spider Baby transformation.","",""
"Robo-Baby 2.0","ItemID: 267","""We worked out all the kinks""","Quality: 1","A familiar that is controlled via the arrow keys and will automatically fire a laser if anything is in its line of sight","Type: Passive, Familiar","Item Pool: Item Room","Robo-Baby 2.0's lasers deal 3.5 damage per hit","Counts as 1 of 3 familiar items needed towards the Conjoined transformation.","","Unlock this item by beating Challenge #16 (Computer Savvy)",""
"Rotten Baby","ItemID: 268","""Infested friend""","Quality: 3","A familiar which follows Isaac and spawns a blue flies as you're firing tears","Type: Passive, Familiar","Item Pool: Item Room, Devil Room","Rotten Baby can only create one fly at a time, meaning if he has created a fly he cannot make another until it is used","Blue Flies do double your tear damage","Counts as 1 of 3 familiar items needed towards the Conjoined transformation","",""
"Headless Baby","ItemID: 269","""Bloody friend""","Quality: 1","A familiar that follows Isaac and leaves blood creep on the floor as it floats, hurting enemies that walk over it for 2 damage per tick","Type: Passive, Familiar","Item Pool: Item Room, Devil Room","Counts as 1 of 3 familiar items needed towards the Conjoined transformation","","","",""
"Leech","ItemID: 270","""Blood sucker""","Quality: 2","Spawns a familiar leech on the ground that hunts down enemies and heals you for half a heart each time it eats one","Type: Passive, Familiar","Item Pool: Item Room","The Leech deals 1.5 contact damage per tick","","","",""
"Mystery Sack","ItemID: 271","""?""","Quality: 2","A bag that follows Isaac and drops a random heart, coin, bomb or key every 5-6 rooms (alternating, 5 rooms then 6, then repeats)","Type: Passive, Familiar","Item Pool: Item Room, Beggar, Secret Room","Can drop any kind of heart, coin, bomb or key","","","Unlock this item by beating the Dark Room with Eden",""
"BBF","ItemID: 272","""Big beautiful fly""","Quality: 1","A large familiar black fly that bounces around the room, exploding on contact with enemies dealing 70 damage","Type: Passive, Familiar","Item Pool: Item Room","Does not explode if it hits Isaac, however if it explodes on an enemy while Isaac is in range, he will take damage","Respawns after 10 seconds or by moving to another room","Picking up this item as well as 2 other fly-type items will allow you to transform into Lord of the Flies","",""
"Bob's Brain","ItemID: 273","""Explosive thoughts""","Quality: 1","A green brain that launches in the direction you are firing your tears and will explode on contact with enemies, dealing damage and poisoning anything in the blast radius","Type: Passive, Familiar","Item Pool: Item Room, Rotten Beggar","Bob's Brain deals 100 damage and applies a poison damage over time effect, which deals double your tear damage per tick","Regenerates over time","Will hurt Isaac if he is in the blast radius","",""
"Best Bud","ItemID: 274","""Sworn protector""","Quality: 0","When Isaac takes damage, a white attack fly will spawn that orbits him at a similar distance to the Distant Admiration fly","Type: Passive, Orbital","Item Pool: Item Room, Key Beggar","The fly orbits a lot faster than Distant Admiration or Forever Alone and deals 10 damage per tick","Picking up this item as well as 2 other fly-type items will allow you to transform into Lord of the Flies","Counts as 1 of 3 fly items needed towards the Beelzebub transformation","",""
"Lil Brimstone","ItemID: 275","""Evil friend""","Quality: 2","A familiar that follows Isaac and can fire up and charge brimstone shots, exactly how the normal Brimstone item works but with less damage","Type: Passive, Familiar","Item Pool: Item Room, Devil Room","Each laser deals 3 damage per tick, up to 8 times for a total of 24 damage","A familiar found in the devil room","Lil Brimstone is now unable to start charging until he is finished attacking","",""
"Isaac's Heart","ItemID: 276","""Protect it""","Quality: 0","Prevents Isaac from taking any damage, but instead summons a familiar heart that follows you around. If the heart is hit, Isaac will take damage","Type: Passive, Familiar","Item Pool: Item Room","It will attempt to hide behind you when shooting","Most enemies will target the heart over Isaac himself","Isaac's Heart has a charge attack, which when released will push enemies away and fire blood tears in all directions","Unlock this item by beating the Isaac boss with The Lost",""
"Lil Haunt","ItemID: 277","""Fear him""","Quality: 1","A familiar ghost that follows Isaac around and chases enemies close-by, damaging them for 2 contact damage and causing a fear effect","Type: Passive, Familiar","Item Pool: Item Room","","","","",""
"Dark Bum","ItemID: 278","""He wants to take your life""","Quality: 3","A familiar beggar similar to Bum Friend that follows Isaac and collects red hearts, giving Isaac black hearts, pills, cards, runes or spiders in return","Type: Passive, Familiar","Item Pool: Item Room, Devil Room, Demon Beggar","For every 1.5 red hearts he takes, he will give a reward","Reward chances: Black Heart - 40%, Card/Rune - 20%, Pill - 20%, Blue Spider - 10%, Spider 10%","Counts as 1 of 3 bum items needed towards the Super Bum transformation","",""
"Big Fan","ItemID: 279","""Fat protector""","Quality: 2","A very large orbital that moves around Isaac very slowly, blocking shots and dealing 2 contact damage per tick","Type: Passive, Orbital","Item Pool: Item Room","Affects the speed of all other orbitals, slowing them down a lot (NOTE: This effect does not happen until you get a new orbital after Big Fan)","Does not count as one of your three standard orbital slots","Counts as 1 of 3 fly items needed towards the Beelzebub transformation","",""
"Sissy Long Legs","ItemID: 280","""She loves you""","Quality: 1","An adorable friendly blue spider that walks around the room laying other blue spiders which attack enemies","Type: Passive, Familiar","Item Pool: Item Room","Blue Spiders do x2 of Isaac's damage","She can only spawn a maximum of up to 5 spiders at a time and will only do so while there are enemies in the room","Sissy Long Legs also charms enemies on contact","",""
"Punching Bag","ItemID: 281","""Scape goat""","Quality: 1","Spawns a friendly Mulligan that walks around the room. Mulligan can be hit by enemy projectiles, making him a good shield","Type: Passive, Familiar","Item Pool: Item Room","Enemies will sometimes target the Mulligan if he is closer","","","",""
"How To Jump","ItemID: 282","""It's time you learned how""","Quality: 1","When used, makes Isaac leap in the air, similar to the leaper enemies","Type: Active","Recharge Time: Instant","Maintains momentum if you are already moving in the same direction","If you already have an item which gives you flying, this item becomes a dash effect instead","Can be used in the Isaac boss fight to jump over the beams of light he spawns","","Item Pool: Item Room, Library"
"D100","ItemID: 283","""REEROLLLLL!""","Quality: 3","When used, the D100 will activate the effects of all other dice items at once, including D1, D4, The D6, D7, D8, D10, D12 and D20. Search 'Dice effect' to see all those items and their relevant effects","Type: Active","Recharge Time: 6 rooms","Note: Full run reroll effects (such as D4) are able to remove heart containers and transformations if losing the respective items during the reroll","","","Unlock this item by beating Boss Rush with The Lost","Item Pool: Item Room"
"D4","ItemID: 284","""Reroll into something else""","Quality: 2","When used, the D4 re-rolls each item you currently have into another random item from the same item pool","Type: Active","Recharge Time: 6 rooms","If you have an item with no room pool (e.g. Blood Bag) it will be rerolled into a random Item Room item","Full run reroll effects such as D4 are able to remove heart containers and transformations if losing the respective items during the reroll","Cannot remove Azazel's Brimstone laser, or The Lost's Holy Mantle","Unlock this item by blowing up 30 slot machines","Item Pool: Item Room"
"D10","ItemID: 285","""Rerolls enemies""","Quality: 1","When used, rerolls all enemies in the room which are currently alive into another random type of enemy","Type: Active","Recharge Time: 2 rooms","D10 attempts to reroll enemies into enemies of similar health where possible","Cannot reroll mini-bosses or bosses","","","Item Pool: Item Room"
"Blank Card","ItemID: 286","""Card Mimic""","Quality: 2","When used, copies the effect of the card you are currently holding without consuming it","Type: Active","Recharge Time: Varies","The charge time depends on the quality of the card you're holding, and will update with each activation","Using this with the ? card will teleport you to the I AM ERROR room","","Unlock this item by beating the Isaac boss with Eden","Item Pool: Shop, Secret Room"
"Book of Secrets","ItemID: 287","""??????""","Quality: 1","When used, you have a chance of getting one of the three following effects: Treasure Map (floor layout), Compass (map icons) or Blue Map (secret room locations)","Type: Active","Recharge Time: 6 rooms","Counts as 1 of 3 book items needed towards the Bookworm transformation","Book of Secrets avoids giving mapping effects that you already have. If the player has all mapping effects, it grants the 'I can see forever!' effect for the floor","","Unlock this item by beating Satan with Eden","Item Pool: Item Room, Library, Secret Room"
"Box of Spiders","ItemID: 288","""It's a box of spiders""","Quality: 1","When used, spawns 4-8 friendly blue spiders on the floor","Type: Active","Recharge Time: 2 rooms","Blue Spiders do x2 of Isaac's damage","Counts as 1 of 3 spider items needed towards the Spider Baby transformation","","","Item Pool: Item Room"
"Red Candle","ItemID: 289","""Flame on""","Quality: 2","When used, the candle is raised above Isaac's head. Upon pressing any fire button, a red flame will slide across the floor in that direction, dealing 23 damage per tick to enemies that come into contact with it","Type: Active","Recharge Time: Timed (A few seconds)","Each flame deals 125 total damage and disappears after 10 seconds","The flame will shrink in size when deals damage to something and eventually disappear","","Unlock this item by donating 400 pennies to the Shop","Item Pool: Shop"
"The Jar","ItemID: 290","""Save your life""","Quality: 0","Isaac can now pick up hearts while at full health, which will be stored in the Jar and can be spawned again using the spacebar","Type: Active","Recharge Time: Instant","Up to 4 hearts can be stored in The Jar","Soul hearts and black hearts cannot be stored","If used in a Black heart or Eternal heart super secret room, it will spawn the relevant heart","","Item Pool: Shop"
